3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72
5.1118,6.7426,8.3324,9.4346,10.771,11.152,12.287,13.804,14.91,15.992,17.25,18.528,19.109,21.795,22.063,20.892,24.404,27.611,27.493,29.525,29.837,28.725,33.004,34.644,36.003,36.974,41.069,39.912,43.022,42.946,45.708,44.311,48.062,41.783,49.645,50.639,52.177,55.285,54.003,56.737,56.913,58.632,59.713,60.153,61.027,66.341,64.373,64.389,66.426,68.32,67.05,69.886,70.548,73.366,72.13,72.235,73.636,77.061,79.615,78.21,76.686,73.519,76.121,80.871,82.884,81.681,79.469,75.983,75.12,80.589
10.036,15.245,18.211,20.756,25.194,27.426,27.952,32.943,36.778,39.213,44.134,47.515,50.504,55.964,59.094,47.92,69.436,75.53,77.994,84.865,88.804,72.798,98.327,103.61,111.77,111.85,122.85,123.39,134.84,133.99,142.46,149.24,152.22,146.96,161.31,168.33,169.49,185.66,178.87,188.51,193.06,187.74,196.49,199.85,204.74,226.73,214.85,213.47,215.05,218.82,222.62,240.93,246.43,250.05,245.85,243.35,249.67,265.23,268.02,264.85,257.42,257.16,271.83,282.39,289.46,285.74,275.52,254.22,255.76,285.65
